Task,Start,Finish,Duration,Date,ideal_schedule
Learning,2019-04-02 22:38:00,2019-04-02 23:13:00,0 days 00:35:00.000000000,2019-04-02 00:00:00,False
Deep Work,2019-04-03 09:12:00,2019-04-03 10:29:00,0 days 01:17:00.000000000,2019-04-03 00:00:00,False
Deep Work,2019-04-03 10:52:00,2019-04-03 11:41:00,0 days 00:49:00.000000000,2019-04-03 00:00:00,False
Deep Work,2019-04-03 12:44:00,2019-04-03 13:31:00,0 days 00:47:00.000000000,2019-04-03 00:00:00,False
Deep Work,2019-04-03 13:36:00,2019-04-03 14:10:00,0 days 00:34:00.000000000,2019-04-03 00:00:00,False
Deep Work,2019-04-03 14:48:00,2019-04-03 15:42:00,0 days 00:54:00.000000000,2019-04-03 00:00:00,False
Gym,2019-04-03 15:56:00,2019-04-03 17:37:00,0 days 01:41:00.000000000,2019-04-03 00:00:00,False
Learning,2019-04-03 18:53:00,2019-04-03 19:59:00,0 days 01:06:00.000000000,2019-04-03 00:00:00,False
Learning,2019-04-03 20:47:00,2019-04-03 22:06:00,0 days 01:19:00.000000000,2019-04-03 00:00:00,False
Learning,2019-04-03 22:14:00,2019-04-03 22:31:00,0 days 00:17:00.000000000,2019-04-03 00:00:00,False
Deep Work,2019-04-04 08:51:00,2019-04-04 10:17:00,0 days 01:26:00.000000000,2019-04-04 00:00:00,False
Deep Work,2019-04-04 10:36:00,2019-04-04 11:20:00,0 days 00:44:00.000000000,2019-04-04 00:00:00,False
Deep Work,2019-04-04 11:34:00,2019-04-04 11:46:00,0 days 00:12:00.000000000,2019-04-04 00:00:00,False
Deep Work,2019-04-04 12:25:00,2019-04-04 12:36:00,0 days 00:11:00.000000000,2019-04-04 00:00:00,False
Deep Work,2019-04-04 12:41:00,2019-04-04 14:25:00,0 days 01:44:00.000000000,2019-04-04 00:00:00,False
Deep Work,2019-04-04 14:58:00,2019-04-04 15:50:00,0 days 00:52:00.000000000,2019-04-04 00:00:00,False
Gym,2019-04-04 16:00:00,2019-04-04 17:41:00,0 days 01:41:00.000000000,2019-04-04 00:00:00,False
Learning,2019-04-04 19:20:00,2019-04-04 20:18:00,0 days 00:58:00.000000000,2019-04-04 00:00:00,False
Learning,2019-04-04 21:02:00,2019-04-04 21:32:00,0 days 00:30:00.000000000,2019-04-04 00:00:00,False
Learning,2019-04-04 21:36:00,2019-04-04 22:16:00,0 days 00:40:00.000000000,2019-04-04 00:00:00,False
Learning,2019-04-04 22:36:00,2019-04-04 23:15:00,0 days 00:39:00.000000000,2019-04-04 00:00:00,False
Deep Work,2019-04-05 09:21:00,2019-04-05 10:47:00,0 days 01:26:00.000000000,2019-04-05 00:00:00,False
Deep Work,2019-04-05 11:10:00,2019-04-05 12:15:00,0 days 01:05:00.000000000,2019-04-05 00:00:00,False
Deep Work,2019-04-05 12:58:00,2019-04-05 13:39:00,0 days 00:41:00.000000000,2019-04-05 00:00:00,False
Deep Work,2019-04-05 13:47:00,2019-04-05 13:55:00,0 days 00:08:00.000000000,2019-04-05 00:00:00,False
Shallow Work,2019-04-05 14:00:00,2019-04-05 15:25:00,0 days 01:25:00.000000000,2019-04-05 00:00:00,False
Deep Work,2019-04-05 16:25:00,2019-04-05 17:09:00,0 days 00:44:00.000000000,2019-04-05 00:00:00,False
Learning,2019-04-05 17:40:00,2019-04-05 18:03:00,0 days 00:23:00.000000000,2019-04-05 00:00:00,False
Learning,2019-04-05 18:11:00,2019-04-05 18:27:00,0 days 00:16:00.000000000,2019-04-05 00:00:00,False
Learning,2019-04-05 19:29:00,2019-04-05 20:34:00,0 days 01:05:00.000000000,2019-04-05 00:00:00,False
Learning,2019-04-05 21:45:00,2019-04-05 22:16:00,0 days 00:31:00.000000000,2019-04-05 00:00:00,False
Learning,2019-04-05 22:24:00,2019-04-05 23:13:00,0 days 00:49:00.000000000,2019-04-05 00:00:00,False
Deep Work,2019-04-06 09:01:00,2019-04-06 09:39:00,0 days 00:38:00.000000000,2019-04-06 00:00:00,False
Deep Work,2019-04-06 09:41:00,2019-04-06 10:21:00,0 days 00:40:00.000000000,2019-04-06 00:00:00,False
Deep Work,2019-04-06 14:05:00,2019-04-06 15:27:00,0 days 01:22:00.000000000,2019-04-06 00:00:00,False
Deep Work,2019-04-06 15:57:00,2019-04-06 17:02:00,0 days 01:05:00.000000000,2019-04-06 00:00:00,False
Learning,2019-04-06 19:49:00,2019-04-06 20:36:00,0 days 00:47:00.000000000,2019-04-06 00:00:00,False
Learning,2019-04-06 21:10:00,2019-04-06 21:30:00,0 days 00:20:00.000000000,2019-04-06 00:00:00,False
Learning,2019-04-06 21:41:00,2019-04-06 22:46:00,0 days 01:05:00.000000000,2019-04-06 00:00:00,False
Deep Work,2019-04-07 09:34:00,2019-04-07 11:15:00,0 days 01:41:00.000000000,2019-04-07 00:00:00,False
Deep Work,2019-04-07 12:01:00,2019-04-07 12:32:00,0 days 00:31:00.000000000,2019-04-07 00:00:00,False
Deep Work,2019-04-07 14:31:00,2019-04-07 15:36:00,0 days 01:05:00.000000000,2019-04-07 00:00:00,False
Gym,2019-04-07 15:51:00,2019-04-07 17:41:00,0 days 01:50:00.000000000,2019-04-07 00:00:00,False
Learning,2019-04-07 19:03:00,2019-04-07 20:18:00,0 days 01:15:00.000000000,2019-04-07 00:00:00,False
